composition_id,n_true_groups,n_predicted_groups,adjusted_rand_index,adjusted_mutual_info,homogeneity,completeness,v_measure,pairwise_f1
1204,2,10,0.0025,-0.0184,0.6294,0.0679,0.1226,0.1404
1213,2,7,0.2402,0.1259,0.2973,0.1619,0.2096,0.5972
1211,2,16,-0.0159,-0.0014,0.5788,0.1026,0.1743,0.0906
1165,5,9,0.0913,0.1382,0.4983,0.2568,0.3389,0.5374
1176,2,3,0.963,0.8769,1.0,0.7961,0.8865,0.9885
1216,3,4,0.3123,0.3118,0.4917,0.3609,0.4162,0.6667
1182,2,5,0.2437,0.2432,0.4838,0.2369,0.318,0.5
1218,3,6,0.3,0.1726,0.4206,0.2343,0.301,0.6027
1185,3,4,0.3697,0.481,0.8718,0.4094,0.5571,0.7114
1148,8,7,0.3799,0.4873,0.7761,0.6866,0.7286,0.5333
215,8,11,0.1143,0.213,0.6676,0.5248,0.5876,0.2105
